T(K),Eta (Pa*s)
200,6.78E-06
210,7.01E-06
220,7.24E-06
230,7.46E-06
240,7.68E-06
250,7.9E-06
260,8.12E-06
270,8.33E-06
280,8.54E-06
290,8.75E-06
300,8.95E-06
310,9.15E-06
320,9.35E-06
330,9.55E-06
340,9.75E-06
350,9.94E-06
360,1.014E-05
370,1.033E-05
380,1.052E-05
390,1.07E-05
400,1.089E-05
410,1.107E-05
420,1.126E-05
430,1.144E-05
440,1.162E-05
450,1.18E-05
460,1.197E-05
470,1.215E-05
480,1.232E-05
490,1.25E-05
500,1.267E-05
550,1.352E-05
600,1.434E-05
